Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
2025-01-06,,AUD,unknown,Household Spending m/m,,0.2%,0.5%
2025-01-06,,USD,medium,ISM Manufacturing Prices,,58.0,62.4
2025-01-06,,USD,high,FOMC Member Goolsbee Speaks,,,
2025-01-06,,USD,low,Loan Officer Survey,,,
2025-01-06,,AUD,high,RBA Monetary Policy Statement,,,
2025-01-06,,AUD,high,RBA Rate Statement,,,
2025-01-13,,USD,low,Daylight Saving Time Shift,,,
2025-01-13,,AUD,unknown,Building Approvals m/m,,12.0%,5.1%
2025-01-13,,AUD,unknown,Household Spending m/m,,0.2%,0.5%
2025-01-13,,USD,medium,ISM Manufacturing Prices,,58.0,62.4
2025-01-13,,USD,high,FOMC Member Goolsbee Speaks,,,
2025-01-13,,USD,low,Loan Officer Survey,,,
2025-01-13,,AUD,high,RBA Monetary Policy Statement,,,
2025-01-13,,AUD,high,RBA Rate Statement,,,
2025-01-20,,USD,low,Daylight Saving Time Shift,,,
2025-01-20,,AUD,unknown,Building Approvals m/m,,12.0%,5.1%
2025-01-20,,AUD,unknown,Household Spending m/m,,0.2%,0.5%
2025-01-20,,USD,medium,ISM Manufacturing Prices,,58.0,62.4
2025-01-20,,USD,high,FOMC Member Goolsbee Speaks,,,
2025-01-20,,USD,low,Loan Officer Survey,,,
2025-01-20,,AUD,high,RBA Monetary Policy Statement,,,
2025-01-20,,AUD,high,RBA Rate Statement,,,
2025-01-27,,USD,low,Daylight Saving Time Shift,,,
2025-01-27,,AUD,unknown,Building Approvals m/m,,12.0%,5.1%
2025-01-27,,AUD,unknown,Household Spending m/m,,0.2%,0.5%
2025-01-27,,USD,medium,ISM Manufacturing Prices,,58.0,62.4
2025-01-27,,USD,high,FOMC Member Goolsbee Speaks,,,
2025-01-27,,USD,low,Loan Officer Survey,,,
2025-01-27,,AUD,high,RBA Monetary Policy Statement,,,
2025-01-27,,AUD,high,RBA Rate Statement,,,
2025-02-03,,USD,low,Daylight Saving Time Shift,,,
2025-02-03,,AUD,unknown,Building Approvals m/m,,12.0%,5.1%
2025-02-03,,AUD,unknown,Household Spending m/m,,0.2%,0.5%
2025-02-03,,USD,medium,ISM Manufacturing Prices,,58.0,62.4
2025-02-03,,USD,high,FOMC Member Goolsbee Speaks,,,
2025-02-03,,USD,low,Loan Officer Survey,,,
2025-02-03,,AUD,high,RBA Monetary Policy Statement,,,
2025-02-03,,AUD,high,RBA Rate Statement,,,
2025-02-10,,USD,low,Daylight Saving Time Shift,,,
2025-02-10,,AUD,unknown,Building Approvals m/m,,12.0%,5.1%
2025-02-10,,AUD,unknown,Household Spending m/m,,0.2%,0.5%
2025-02-10,,USD,medium,ISM Manufacturing Prices,,58.0,62.4
2025-02-10,,USD,high,FOMC Member Goolsbee Speaks,,,
2025-02-10,,USD,low,Loan Officer Survey,,,
2025-02-10,,AUD,high,RBA Monetary Policy Statement,,,
2025-02-10,,AUD,high,RBA Rate Statement,,,
2025-02-17,,USD,low,Daylight Saving Time Shift,,,
2025-02-17,,AUD,unknown,Building Approvals m/m,,12.0%,5.1%
2025-02-17,,AUD,unknown,Household Spending m/m,,0.2%,0.5%
2025-02-17,,USD,medium,ISM Manufacturing Prices,,58.0,62.4
2025-02-17,,USD,high,FOMC Member Goolsbee Speaks,,,
2025-02-17,,USD,low,Loan Officer Survey,,,
2025-02-17,,AUD,high,RBA Monetary Policy Statement,,,
2025-02-17,,AUD,high,RBA Rate Statement,,,
2025-02-24,,USD,low,Daylight Saving Time Shift,,,
2025-02-24,,AUD,unknown,Building Approvals m/m,,12.0%,5.1%
2025-02-24,,AUD,unknown,Household Spending m/m,,0.2%,0.5%
2025-02-24,,USD,medium,ISM Manufacturing Prices,,58.0,62.4
2025-02-24,,USD,high,FOMC Member Goolsbee Speaks,,,
2025-02-24,,USD,low,Loan Officer Survey,,,
2025-02-24,,AUD,high,RBA Monetary Policy Statement,,,
2025-02-24,,AUD,high,RBA Rate Statement,,,
2025-03-03,,USD,low,Daylight Saving Time Shift,,,
2025-03-03,,AUD,unknown,Building Approvals m/m,,12.0%,5.1%
2025-03-03,,AUD,unknown,Household Spending m/m,,0.2%,0.5%
2025-03-03,,USD,medium,ISM Manufacturing Prices,,58.0,62.4
2025-03-03,,USD,high,FOMC Member Goolsbee Speaks,,,
2025-03-03,,USD,low,Loan Officer Survey,,,
2025-03-03,,AUD,high,RBA Monetary Policy Statement,,,
2025-03-03,,AUD,high,RBA Rate Statement,,,
2025-03-10,,USD,low,Daylight Saving Time Shift,,,
2025-03-10,,AUD,unknown,Building Approvals m/m,,12.0%,5.1%
2025-03-10,,AUD,unknown,Household Spending m/m,,0.2%,0.5%
